LM_ID,ABBREVIATION,SYNONYMS
LMGL03016445,TG 59:5,TG(59:5); TG(18:3_20:2_21:0)
LMGL03016446,TG 60:5,TG(60:5); TG(18:3_20:2_22:0)
LMGL03016447,TG 60:6,TG(60:6); TG(18:3_20:2_22:1)
LMGL03016448,TG 60:7,TG(60:7); TG(18:3_20:2_22:2)
LMGL03016449,TG 60:8,TG(60:8); TG(18:3_20:2_22:3)
LMGL03016450,TG 60:9,TG(60:9); TG(18:3_20:2_22:4)
LMGL03016451,TG 60:10,TG(60:10); TG(18:3_20:2_22:5)
LMGL03016452,TG 60:11,TG(60:11); TG(18:3_20:2_22:6)
LMGL03016453,TG 58:10,TG(58:10); TG(18:3_20:3_20:4)
LMGL03016454,TG 58:11,TG(58:11); TG(18:3_20:3_20:5)
LMGL03016455,TG 59:6,TG(59:6); TG(18:3_20:3_21:0)
LMGL03016456,TG 60:6,TG(60:6); TG(18:3_20:3_22:0)
LMGL03016457,TG 60:7,TG(60:7); TG(18:3_20:3_22:1)
LMGL03016458,TG 60:8,TG(60:8); TG(18:3_20:3_22:2)
LMGL03016459,TG 60:9,TG(60:9); TG(18:3_20:3_22:3)
LMGL03016460,TG 60:10,TG(60:10); TG(18:3_20:3_22:4)
LMGL03016461,TG 60:11,TG(60:11); TG(18:3_20:3_22:5)
LMGL03016462,TG 60:12,TG(60:12); TG(18:3_20:3_22:6)
LMGL03016463,TG 58:12,TG(58:12); TG(18:3_20:4_20:5)
LMGL03016464,TG 59:7,TG(59:7); TG(18:3_20:4_21:0)
LMGL03016465,TG 60:7,TG(60:7); TG(18:3_20:4_22:0)
LMGL03016466,TG 60:8,TG(60:8); TG(18:3_20:4_22:1)
LMGL03016467,TG 60:9,TG(60:9); TG(18:3_20:4_22:2)
LMGL03016468,TG 60:10,TG(60:10); TG(18:3_20:4_22:3)
LMGL03016469,TG 60:11,TG(60:11); TG(18:3_20:4_22:4)
LMGL03016470,TG 60:12,TG(60:12); TG(18:3_20:4_22:5)
LMGL03016471,TG 60:13,TG(60:13); TG(18:3_20:4_22:6)
LMGL03016472,TG 59:8,TG(59:8); TG(18:3_20:5_21:0)
LMGL03016473,TG 60:8,TG(60:8); TG(18:3_20:5_22:0)
LMGL03016474,TG 60:9,TG(60:9); TG(18:3_20:5_22:1)
LMGL03016475,TG 60:10,TG(60:10); TG(18:3_20:5_22:2)
LMGL03016476,TG 60:11,TG(60:11); TG(18:3_20:5_22:3)
LMGL03016477,TG 60:12,TG(60:12); TG(18:3_20:5_22:4)
LMGL03016478,TG 60:13,TG(60:13); TG(18:3_20:5_22:5)
LMGL03016479,TG 60:14,TG(60:14); TG(18:3_20:5_22:6)
LMGL03016480,TG 61:3,TG(61:3); TG(18:3_21:0_22:0)
LMGL03016481,TG 61:4,TG(61:4); TG(18:3_21:0_22:1)
LMGL03016482,TG 61:5,TG(61:5); TG(18:3_21:0_22:2)
LMGL03016483,TG 61:6,TG(61:6); TG(18:3_21:0_22:3)
LMGL03016484,TG 61:7,TG(61:7); TG(18:3_21:0_22:4)
