LM_ID,ABBREVIATION,SYNONYMS
LMFA04010030,FA 22:5;O3,"(7R,11R,13S)-7-F4-NeuroP[10S,14R]"
LMFA04010031,FA 22:5;O3,"(7R,11S,13R)-7-F4-NeuroP[10R,14S]"
LMFA04010032,FA 22:5;O3,"(7R,11S,13R)-7-F4-NeuroP[10R,14R]"
LMFA04010033,FA 22:5;O3,"(7R,11S,13R)-7-F4-NeuroP[10S,14S]"
LMFA04010034,FA 22:5;O3,"(7R,11S,13R)-7-F4-NeuroP[10S,14R]"
LMFA04010035,FA 22:5;O3,"(7S,11R,13S)-7-F4-NeuroP[10R,14S]"
LMFA04010036,FA 22:5;O3,"(7S,11R,13S)-7-F4-NeuroP[10R,14R]"
LMFA04010037,FA 22:5;O3,"(7S,11R,13S)-7-F4-NeuroP[10S,14S]"
LMFA04010038,FA 22:5;O3,"(7S,11R,13S)-7-F4-NeuroP[10S,14R]"
LMFA04010039,FA 22:5;O3,"(7S,11S,13R)-7-F4-NeuroP[10R,14S]"
LMFA04010040,FA 22:5;O3,"(7S,11S,13R)-7-F4-NeuroP[10R,14R]"
LMFA04010041,FA 22:5;O3,"(7S,11S,13R)-7-F4-NeuroP[10S,14S]"
LMFA04010042,FA 22:5;O3,"(7S,11S,13R)-7-F4-NeuroP[10S,14R]"
LMFA04010043,FA 22:5;O3,"(10R,14R,16S)-10-F4-NeuroP[13R,17S]"
LMFA04010044,FA 22:5;O3,"(10R,14R,16S)-10-F4-NeuroP[13R,17R]"
LMFA04010045,FA 22:5;O3,"(10R,14R,16S)-10-F4-NeuroP[13S,17S]"
LMFA04010046,FA 22:5;O3,"(10R,14R,16S)-10-F4-NeuroP[13S,17R]"
LMFA04010047,FA 22:5;O3,"(10R,14S,16R)-10-F4-NeuroP[13R,17S]"
LMFA04010048,FA 22:5;O3,"(10R,14S,16R)-10-F4-NeuroP[13R,17R]"
LMFA04010049,FA 22:5;O3,"(10R,14S,16R)-10-F4-NeuroP[13S,17S]"
LMFA04010050,FA 22:5;O3,"(10R,14S,16R)-10-F4-NeuroP[13S,17R]"
LMFA04010051,FA 22:5;O3,"(10S,14R,16S)-10-F4-NeuroP[13R,17S]"
LMFA04010052,FA 22:5;O3,"(10S,14R,16S)-10-F4-NeuroP[13R,17R]"
LMFA04010053,FA 22:5;O3,"(10S,14R,16S)-10-F4-NeuroP[13S,17S]"
LMFA04010054,FA 22:5;O3,"(10S,14R,16S)-10-F4-NeuroP[13S,17R]"
LMFA04010055,FA 22:5;O3,"(10S,14S,16R)-10-F4-NeuroP[13R,17S]"
LMFA04010056,FA 22:5;O3,"(10S,14S,16R)-10-F4-NeuroP[13R,17R]"
LMFA04010057,FA 22:5;O3,"(10S,14S,16R)-10-F4-NeuroP[13S,17S]"
LMFA04010058,FA 22:5;O3,"(10S,14S,16R)-10-F4-NeuroP[13S,17R]"
LMFA04010059,FA 22:5;O3,"(5R,7S,11R)-11-F4-NeuroP[4R,8S]"
LMFA04010060,FA 22:5;O3,"(5R,7S,11R)-11-F4-NeuroP[4R,8R]"
LMFA04010061,FA 22:5;O3,"(5R,7S,11R)-11-F4-NeuroP[4S,8S]"
LMFA04010062,FA 22:5;O3,"(5R,7S,11R)-11-F4-NeuroP[4S,8R]"
LMFA04010063,FA 22:5;O3,"(5R,7S,11S)-11-F4-NeuroP[4R,8S]"
LMFA04010064,FA 22:5;O3,"(5R,7S,11S)-11-F4-NeuroP[4R,8R]"
LMFA04010065,FA 22:5;O3,"(5R,7S,11S)-11-F4-NeuroP[4S,8S]"
LMFA04010066,FA 22:5;O3,"(5R,7S,11S)-11-F4-NeuroP[4S,8R]"
LMFA04010067,FA 22:5;O3,"(5S,7R,11R)-11-F4-NeuroP[4R,8S]"
LMFA04010068,FA 22:5;O3,"(5S,7R,11R)-11-F4-NeuroP[4R,8R]"
LMFA04010069,FA 22:5;O3,"(5S,7R,11R)-11-F4-NeuroP[4S,8S]"
LMFA04010070,FA 22:5;O3,"(5S,7R,11R)-11-F4-NeuroP[4S,8R]"
LMFA04010071,FA 22:5;O3,"(5S,7R,11S)-11-F4-NeuroP[4R,8S]"
LMFA04010072,FA 22:5;O3,"(5S,7R,11S)-11-F4-NeuroP[4R,8R]"
LMFA04010073,FA 22:5;O3,"(5S,7R,11S)-11-F4-NeuroP[4S,8S]"
LMFA04010074,FA 22:5;O3,"(5S,7R,11S)-11-F4-NeuroP[4S,8R]"
LMFA04010075,FA 22:5;O3,"(13R,17R,19S)-13-F4-NeuroP[16R,20S]"
LMFA04010076,FA 22:5;O3,"(13R,17R,19S)-13-F4-NeuroP[16R,20R]"
LMFA04010077,FA 22:5;O3,"(13R,17R,19S)-13-F4-NeuroP[16S,20S]"
LMFA04010078,FA 22:5;O3,"(13R,17R,19S)-13-F4-NeuroP[16S,20R]"
LMFA04010079,FA 22:5;O3,"(13R,17S,19R)-13-F4-NeuroP[16R,20S]"
LMFA04010080,FA 22:5;O3,"(13R,17S,19R)-13-F4-NeuroP[16R,20R]"
LMFA04010081,FA 22:5;O3,"(13R,17S,19R)-13-F4-NeuroP[16S,20S]"
LMFA04010082,FA 22:5;O3,"(13R,17S,19R)-13-F4-NeuroP[16S,20R]"
LMFA04010083,FA 22:5;O3,"(13S,17R,19S)-13-F4-NeuroP[16R,20S]"
LMFA04010084,FA 22:5;O3,"(13S,17R,19S)-13-F4-NeuroP[16R,20R]"
LMFA04010085,FA 22:5;O3,"(13S,17R,19S)-13-F4-NeuroP[16S,20S]"
LMFA04010086,FA 22:5;O3,"(13S,17R,19S)-13-F4-NeuroP[16S,20R]"
LMFA04010087,FA 22:5;O3,"(13S,17S,19R)-13-F4-NeuroP[16R,20S]"
LMFA04010088,FA 22:5;O3,"(13S,17S,19R)-13-F4-NeuroP[16R,20R]"
LMFA04010089,FA 22:5;O3,"(13S,17S,19R)-13-F4-NeuroP[16S,20S]"
LMFA04010090,FA 22:5;O3,"(13S,17S,19R)-13-F4-NeuroP[16S,20R]"
LMFA04010091,FA 22:5;O3,"(8R,10S,14R)-14-F4-NeuroP[7R,11S]"
LMFA04010092,FA 22:5;O3,"(8R,10S,14R)-14-F4-NeuroP[7R,11R]"
LMFA04010093,FA 22:5;O3,"(8R,10S,14R)-14-F4-NeuroP[7S,11S]"
LMFA04010094,FA 22:5;O3,"(8R,10S,14R)-14-F4-NeuroP[7S,11R]"
LMFA04010095,FA 22:5;O3,"(8R,10S,14S)-14-F4-NeuroP[7R,11S]"
LMFA04010096,FA 22:5;O3,"(8R,10S,14S)-14-F4-NeuroP[7R,11R]"
LMFA04010097,FA 22:5;O3,"(8R,10S,14S)-14-F4-NeuroP[7S,11S]"
LMFA04010098,FA 22:5;O3,"(8R,10S,14S)-14-F4-NeuroP[7S,11R]"
LMFA04010099,FA 22:5;O3,"(8S,10R,14R)-14-F4-NeuroP[7R,11S]"
LMFA04010100,FA 22:5;O3,"(8S,10R,14R)-14-F4-NeuroP[7R,11R]"
LMFA04010101,FA 22:5;O3,"(8S,10R,14R)-14-F4-NeuroP[7S,11S]"
LMFA04010102,FA 22:5;O3,"(8S,10R,14R)-14-F4-NeuroP[7S,11R]"
LMFA04010103,FA 22:5;O3,"(8S,10R,14S)-14-F4-NeuroP[7R,11S]"
LMFA04010105,FA 22:5;O3,"(8S,10R,14S)-14-F4-NeuroP[7S,11S]"
LMFA04010106,FA 22:5;O3,"(8S,10R,14S)-14-F4-NeuroP[7S,11R]"
LMFA04010107,FA 22:5;O3,"(11R,13S,17R)-17-F4-NeuroP[10R,14S]"
LMFA04010108,FA 22:5;O3,"(11R,13S,17R)-17-F4-NeuroP[10R,14R]"
LMFA04010109,FA 22:5;O3,"(11R,13S,17R)-17-F4-NeuroP[10S,14S]"
LMFA04010110,FA 22:5;O3,"(11R,13S,17R)-17-F4-NeuroP[10S,14R]"
LMFA04010111,FA 22:5;O3,"(11R,13S,17S)-17-F4-NeuroP[10R,14S]"
LMFA04010112,FA 22:5;O3,"(11R,13S,17S)-17-F4-NeuroP[10R,14R]"
LMFA04010113,FA 22:5;O3,"(11R,13S,17S)-17-F4-NeuroP[10S,14S]"
LMFA04010114,FA 22:5;O3,"(11R,13S,17S)-17-F4-NeuroP[10S,14R]"
LMFA04010115,FA 22:5;O3,"(11S,13R,17R)-17-F4-NeuroP[10R,14S]"
LMFA04010116,FA 22:5;O3,"(11S,13R,17R)-17-F4-NeuroP[10R,14R]"
LMFA04010117,FA 22:5;O3,"(11S,13R,17R)-17-F4-NeuroP[10S,14S]"
LMFA04010118,FA 22:5;O3,"(11S,13R,17R)-17-F4-NeuroP[10S,14R]"
LMFA04010119,FA 22:5;O3,"(11S,13R,17S)-17-F4-NeuroP[10R,14S]"
LMFA04010120,FA 22:5;O3,"(11S,13R,17S)-17-F4-NeuroP[10R,14R]"
LMFA04010121,FA 22:5;O3,"(11S,13R,17S)-17-F4-NeuroP[10S,14S]"
LMFA04010122,FA 22:5;O3,"(11S,13R,17S)-17-F4-NeuroP[10S,14R]"
LMFA04010123,FA 22:5;O3,"(14R,16S,20R)-20-F4-NeuroP[13R,17S]"
LMFA04010124,FA 22:5;O3,"(14R,16S,20R)-20-F4-NeuroP[13R,17R]"
LMFA04010125,FA 22:5;O3,"(14R,16S,20R)-20-F4-NeuroP[13S,17S]"
LMFA04010126,FA 22:5;O3,"(14R,16S,20R)-20-F4-NeuroP[13S,17R]"
LMFA04010127,FA 22:5;O3,"(14R,16S,20S)-20-F4-NeuroP[13R,17S]"
LMFA04010128,FA 22:5;O3,"(14R,16S,20S)-20-F4-NeuroP[13R,17R]"
LMFA04010129,FA 22:5;O3,"(14R,16S,20S)-20-F4-NeuroP[13S,17S]"
LMFA04010130,FA 22:5;O3,"(14R,16S,20S)-20-F4-NeuroP[13S,17R]"
LMFA04010131,FA 22:5;O3,"(14S,16R,20R)-20-F4-NeuroP[13R,17S]"
LMFA04010132,FA 22:5;O3,"(14S,16R,20R)-20-F4-NeuroP[13R,17R]"
LMFA04010133,FA 22:5;O3,"(14S,16R,20R)-20-F4-NeuroP[13S,17S]"
LMFA04010134,FA 22:5;O3,"(14S,16R,20R)-20-F4-NeuroP[13S,17R]"
LMFA04010135,FA 22:5;O3,"(14S,16R,20S)-20-F4-NeuroP[13R,17S]"
LMFA04010136,FA 22:5;O3,"(14S,16R,20S)-20-F4-NeuroP[13R,17R]"
LMFA04010137,FA 22:5;O3,"(14S,16R,20S)-20-F4-NeuroP[13S,17S]"
LMFA04010138,FA 22:5;O3,"(14S,16R,20S)-20-F4-NeuroP[13S,17R]"
LMFA04010139,FA 22:6;O3,
LMFA04010140,FA 22:6;O3,
LMFA04010141,FA 22:6;O3,
LMFA04010142,FA 22:6;O3,
LMFA04010143,FA 22:6;O3,
LMFA04010144,FA 22:6;O3,
LMFA04010145,FA 22:6;O3,
LMFA04010146,FA 22:6;O3,
LMFA04010147,FA 22:6;O3,
LMFA04010148,FA 22:6;O3,
LMFA04010149,FA 22:6;O3,
LMFA04010150,FA 22:6;O3,
LMFA04010151,FA 22:6;O3,
LMFA04010152,FA 22:6;O3,
LMFA04010153,FA 22:6;O3,
LMFA04010154,FA 22:6;O3,
LMFA04010155,FA 22:6;O3,
LMFA04010156,FA 22:6;O3,
LMFA04010157,FA 22:6;O3,
LMFA04010158,FA 22:6;O3,
LMFA04010159,FA 22:6;O3,
LMFA04010160,FA 22:6;O3,
LMFA04010161,FA 22:6;O3,
LMFA04010162,FA 22:6;O3,
LMFA04010163,FA 22:6;O3,
LMFA04010164,FA 22:6;O3,
LMFA04010165,FA 22:6;O3,
LMFA04010166,FA 22:6;O3,
LMFA04010167,FA 22:6;O3,
LMFA04010168,FA 22:6;O3,
LMFA04010169,FA 22:6;O3,
LMFA04010170,FA 22:6;O3,
LMFA04010171,FA 22:6;O3,
LMFA04010172,FA 22:6;O3,
LMFA04010173,FA 22:6;O3,
LMFA04010174,FA 22:6;O3,
LMFA04010175,FA 22:6;O3,
LMFA04010176,FA 22:6;O3,
LMFA04010177,FA 22:6;O3,
LMFA04010178,FA 22:6;O3,
LMFA04010179,FA 22:6;O3,
LMFA04010180,FA 22:6;O3,
LMFA04010181,FA 22:6;O3,
LMFA04010182,FA 22:6;O3,
LMFA04010183,FA 22:6;O3,
LMFA04010184,FA 22:6;O3,
LMFA04010185,FA 22:6;O3,
LMFA04010186,FA 22:6;O3,
LMFA04010187,FA 22:6;O3,
LMFA04010188,FA 22:6;O3,
LMFA04010189,FA 22:6;O3,
LMFA04010190,FA 22:6;O3,
LMFA04010191,FA 22:6;O3,
LMFA04010192,FA 22:6;O3,
LMFA04010193,FA 22:6;O3,
LMFA04010194,FA 22:6;O3,
LMFA04010195,FA 22:6;O3,
LMFA04010196,FA 22:6;O3,
LMFA04010197,FA 22:6;O3,
LMFA04010198,FA 22:6;O3,
LMFA04010199,FA 22:6;O3,
LMFA04010200,FA 22:6;O3,
LMFA04010201,FA 22:6;O3,
LMFA04010202,FA 22:6;O3,
LMFA04010203,FA 22:6;O3,
LMFA04010204,FA 22:6;O3,
LMFA04010205,FA 22:6;O3,
LMFA04010206,FA 22:6;O3,
LMFA04010207,FA 22:6;O3,
LMFA04010208,FA 22:6;O3,
LMFA04010209,FA 22:6;O3,
LMFA04010210,FA 22:6;O3,
LMFA04010211,FA 22:6;O3,
LMFA04010212,FA 22:6;O3,
LMFA04010213,FA 22:6;O3,
LMFA04010214,FA 22:6;O3,
LMFA04010215,FA 22:6;O3,
LMFA04010216,FA 22:6;O3,
LMFA04010217,FA 22:6;O3,
LMFA04010218,FA 22:6;O3,
LMFA04010219,FA 22:6;O3,
LMFA04010220,FA 22:6;O3,
LMFA04010221,FA 22:6;O3,
LMFA04010222,FA 22:6;O3,
LMFA04010223,FA 22:6;O3,
LMFA04010224,FA 22:6;O3,
LMFA04010225,FA 22:6;O3,
LMFA04010226,FA 22:6;O3,
LMFA04010227,FA 22:6;O3,
LMFA04010228,FA 22:6;O3,
LMFA04010229,FA 22:6;O3,
LMFA04010230,FA 22:6;O3,
LMFA04010231,FA 22:6;O3,
LMFA04010232,FA 22:6;O3,
LMFA04010233,FA 22:6;O3,
LMFA04010234,FA 22:6;O3,
LMFA04010235,FA 22:6;O3,
LMFA04010236,FA 22:6;O3,
LMFA04010237,FA 22:6;O3,
LMFA04010238,FA 22:6;O3,
LMFA04010239,FA 22:6;O3,
LMFA04010240,FA 22:6;O3,
LMFA04010241,FA 22:6;O3,
LMFA04010242,FA 22:6;O3,
LMFA04010243,FA 22:6;O3,
LMFA04010244,FA 22:6;O3,
LMFA04010245,FA 22:6;O3,
LMFA04010246,FA 22:6;O3,
LMFA04010247,FA 22:6;O3,
LMFA04010248,FA 22:6;O3,
LMFA04010249,FA 22:6;O3,
LMFA04010250,FA 22:6;O3,
LMFA04010251,FA 22:6;O3,
LMFA04010252,FA 22:6;O3,
LMFA04010253,FA 22:6;O3,
LMFA04010254,FA 22:6;O3,
LMFA04010255,FA 22:6;O3,
LMFA04010256,FA 22:6;O3,
LMFA04010257,FA 22:6;O3,
LMFA04010258,FA 22:6;O3,
LMFA04010259,FA 22:6;O3,
LMFA04010260,FA 22:6;O3,
LMFA04010261,FA 22:6;O3,
LMFA04010262,FA 22:6;O3,
LMFA04010263,FA 22:6;O3,
LMFA04010264,FA 22:6;O3,
LMFA04010265,FA 22:6;O3,
LMFA04010266,FA 22:6;O3,
LMFA04010267,FA 22:6;O3,
LMFA04010268,FA 22:6;O3,
LMFA04010269,FA 22:6;O3,
LMFA04010270,FA 22:6;O3,
LMFA04010271,FA 22:6;O3,
LMFA04010272,FA 22:6;O3,
LMFA04010273,FA 22:6;O3,
LMFA04010274,FA 22:6;O3,
LMFA04010275,FA 22:6;O3,
LMFA04010276,FA 22:6;O3,
LMFA04010277,FA 22:6;O3,
LMFA04010278,FA 22:6;O3,
LMFA04010279,FA 22:6;O3,
LMFA04010280,FA 22:6;O3,
LMFA04010281,FA 22:6;O3,
LMFA04010282,FA 22:6;O3,
LMFA04010283,FA 22:6;O3,
LMFA04010284,FA 22:6;O3,
LMFA04010285,FA 22:6;O3,
LMFA04010286,FA 22:6;O3,
LMFA04010287,FA 22:6;O3,
LMFA04010288,FA 22:6;O3,
LMFA04010289,FA 22:6;O3,
LMFA04010290,FA 22:6;O3,
LMFA04010291,FA 22:6;O3,
LMFA04010292,FA 22:6;O3,
LMFA04010293,FA 22:6;O3,
LMFA04010294,FA 22:6;O3,
LMFA04010295,FA 22:6;O3,
LMFA04010296,FA 22:6;O3,
LMFA04010297,FA 22:6;O3,
LMFA04010298,FA 22:6;O3,
LMFA04010299,FA 22:6;O3,
LMFA04010300,FA 22:6;O3,
LMFA04010301,FA 22:6;O3,
LMFA04010302,FA 22:6;O3,
LMFA04010303,FA 22:6;O3,
LMFA04010304,FA 22:6;O3,
LMFA04010305,FA 22:6;O3,
LMFA04010306,FA 22:6;O3,
LMFA04010307,FA 22:6;O3,
LMFA04010308,FA 22:6;O3,
LMFA04010309,FA 22:6;O3,
LMFA04010310,FA 22:6;O3,
LMFA04010311,FA 22:6;O3,
LMFA04010312,FA 22:6;O3,
LMFA04010313,FA 22:6;O3,
LMFA04010314,FA 22:6;O3,
LMFA04010315,FA 22:6;O3,
LMFA04010316,FA 22:6;O3,
LMFA04010317,FA 22:6;O3,
LMFA04010318,FA 22:6;O3,
LMFA04010319,FA 22:6;O3,
LMFA04010320,FA 22:6;O3,
LMFA04010321,FA 22:6;O3,
LMFA04010322,FA 22:6;O3,
LMFA04010323,FA 22:6;O3,
LMFA04010324,FA 22:6;O3,
LMFA04010325,FA 22:6;O3,
LMFA04010326,FA 22:6;O3,
LMFA04010327,FA 22:6;O3,
LMFA04010328,FA 22:6;O3,
LMFA04010329,FA 22:6;O3,
LMFA04010330,FA 22:6;O3,
LMFA04010331,FA 22:6;O3,
LMFA04010332,FA 22:6;O3,
LMFA04010333,FA 22:6;O3,
LMFA04010334,FA 22:6;O3,
LMFA04010335,FA 22:6;O3,
LMFA04010336,FA 22:6;O3,
LMFA04010337,FA 22:6;O3,
LMFA04010338,FA 22:6;O3,
LMFA04010339,FA 22:6;O3,
LMFA04010340,FA 22:6;O3,
LMFA04010341,FA 22:6;O3,
LMFA04010342,FA 22:6;O3,
LMFA04010343,FA 22:6;O3,
LMFA04010344,FA 22:6;O3,
LMFA04010345,FA 22:6;O3,
LMFA04010346,FA 22:6;O3,
LMFA04010347,FA 22:6;O3,
LMFA04010348,FA 22:6;O3,
LMFA04010349,FA 22:6;O3,
LMFA04010350,FA 22:6;O3,
LMFA04010351,FA 22:6;O3,
LMFA04010352,FA 22:6;O3,
LMFA04010353,FA 22:6;O3,
LMFA04010354,FA 22:6;O3,
LMFA04010355,FA 22:6;O3,
LMFA04010356,FA 22:6;O3,
LMFA04010357,FA 22:6;O3,
LMFA04010358,FA 22:6;O3,
LMFA04010359,FA 22:6;O3,
LMFA04010360,FA 22:6;O3,
LMFA04010361,FA 22:6;O3,
LMFA04010362,FA 22:6;O3,
LMFA04010363,FA 22:6;O3,
LMFA04010364,FA 22:6;O3,
LMFA04010365,FA 22:6;O3,
LMFA04010366,FA 22:6;O3,
LMFA04010367,FA 22:6;O3,
LMFA04010368,FA 22:6;O3,
LMFA04010369,FA 22:6;O3,
LMFA04010370,FA 22:6;O3,
LMFA04010371,FA 22:6;O3,
LMFA04010372,FA 22:6;O3,
LMFA04010373,FA 22:6;O3,
LMFA04010374,FA 22:6;O3,
LMFA04010375,FA 22:6;O3,
LMFA04010376,FA 22:6;O3,
LMFA04010377,FA 22:6;O3,
LMFA04010378,FA 22:6;O3,
LMFA04010379,FA 22:6;O3,
LMFA04010380,FA 22:6;O3,
LMFA04010381,FA 22:6;O3,
LMFA04010382,FA 22:6;O3,
LMFA04010383,FA 22:6;O3,
LMFA04010384,FA 22:6;O3,
LMFA04010385,FA 22:6;O3,
LMFA04010386,FA 22:6;O3,
LMFA04010387,FA 22:6;O3,
LMFA04010388,FA 22:6;O3,
LMFA04010389,FA 22:6;O3,
LMFA04010390,FA 22:6;O3,
LMFA04010391,FA 22:6;O3,
LMFA04010392,FA 22:6;O3,
LMFA04010393,FA 22:6;O3,
LMFA04010394,FA 22:6;O3,
LMFA04010395,FA 22:7;O2,"(4R)-4-A4-NeuroP[7R,11R]"
LMFA04010396,FA 22:7;O2,"(4R)-4-A4-NeuroP[7R,11S]"
LMFA04010397,FA 22:7;O2,"(4R)-4-A4-NeuroP[7S,11R]"
LMFA04010398,FA 22:7;O2,"(4R)-4-A4-NeuroP[7S,11S]"
LMFA04010399,FA 22:7;O2,"(4S)-4-A4-NeuroP[7R,11R]"
LMFA04010400,FA 22:7;O2,"(4S)-4-A4-NeuroP[7R,11S]"
LMFA04010401,FA 22:7;O2,"(4S)-4-A4-NeuroP[7S,11R]"
LMFA04010402,FA 22:7;O2,"(4S)-4-A4-NeuroP[7S,11S]"
LMFA04010403,FA 22:7;O2,"(7R)-7-A4-NeuroP[10R,14R]"
LMFA04010404,FA 22:7;O2,"(7R)-7-A4-NeuroP[10R,14S]"
LMFA04010405,FA 22:7;O2,"(7R)-7-A4-NeuroP[10S,14R]"
LMFA04010406,FA 22:7;O2,"(7R)-7-A4-NeuroP[10S,14S]"
LMFA04010407,FA 22:7;O2,"(7S)-7-A4-NeuroP[10R,14R]"
LMFA04010408,FA 22:7;O2,"(7S)-7-A4-NeuroP[10R,14S]"
LMFA04010409,FA 22:7;O2,"(7S)-7-A4-NeuroP[10S,14R]"
LMFA04010410,FA 22:7;O2,"(7S)-7-A4-NeuroP[10S,14S]"
LMFA04010411,FA 22:7;O2,"(10R)-10-A4-NeuroP[13R,17R]"
LMFA04010412,FA 22:7;O2,"(10R)-10-A4-NeuroP[13R,17S]"
LMFA04010413,FA 22:7;O2,"(10R)-10-A4-NeuroP[13S,17R]"
LMFA04010414,FA 22:7;O2,"(10R)-10-A4-NeuroP[13S,17S]"
LMFA04010415,FA 22:7;O2,"(10S)-10-A4-NeuroP[13R,17R]"
LMFA04010416,FA 22:7;O2,"(10S)-10-A4-NeuroP[13R,17S]"
LMFA04010417,FA 22:7;O2,"(10S)-10-A4-NeuroP[13S,17R]"
LMFA04010418,FA 22:7;O2,"(10S)-10-A4-NeuroP[13S,17S]"
LMFA04010419,FA 22:7;O2,"(11R)-11-A4-NeuroP[4R,8R]"
LMFA04010420,FA 22:7;O2,"(11R)-11-A4-NeuroP[4R,8S]"
LMFA04010421,FA 22:7;O2,"(11R)-11-A4-NeuroP[4S,8R]"
LMFA04010422,FA 22:7;O2,"(11R)-11-A4-NeuroP[4S,8S]"
LMFA04010423,FA 22:7;O2,"(11S)-11-A4-NeuroP[4R,8R]"
LMFA04010424,FA 22:7;O2,"(11S)-11-A4-NeuroP[4R,8S]"
LMFA04010425,FA 22:7;O2,"(11S)-11-A4-NeuroP[4S,8R]"
LMFA04010426,FA 22:7;O2,"(11S)-11-A4-NeuroP[4S,8S]"
LMFA04010427,FA 22:7;O2,"(13R)-13-A4-NeuroP[16R,20R]"
LMFA04010428,FA 22:7;O2,"(13R)-13-A4-NeuroP[16R,20S]"
LMFA04010429,FA 22:7;O2,"(13R)-13-A4-NeuroP[16S,20R]"
LMFA04010430,FA 22:7;O2,"(13R)-13-A4-NeuroP[16S,20S]"
LMFA04010431,FA 22:7;O2,"(13S)-13-A4-NeuroP[16R,20R]"
LMFA04010432,FA 22:7;O2,"(13S)-13-A4-NeuroP[16R,20S]"
LMFA04010433,FA 22:7;O2,"(13S)-13-A4-NeuroP[16S,20R]"
LMFA04010434,FA 22:7;O2,"(13S)-13-A4-NeuroP[16S,20S]"
LMFA04010435,FA 22:7;O2,"(14R)-14-A4-NeuroP[7R,11R]"
LMFA04010436,FA 22:7;O2,"(14R)-14-A4-NeuroP[7R,11S]"
LMFA04010437,FA 22:7;O2,"(14R)-14-A4-NeuroP[7S,11R]"
LMFA04010438,FA 22:7;O2,"(14R)-14-A4-NeuroP[7S,11S]"
LMFA04010439,FA 22:7;O2,"(14S)-14-A4-NeuroP[7R,11R]"
LMFA04010440,FA 22:7;O2,"(14S)-14-A4-NeuroP[7R,11S]"
LMFA04010441,FA 22:7;O2,"(14S)-14-A4-NeuroP[7S,11R]"
LMFA04010442,FA 22:7;O2,"(14S)-14-A4-NeuroP[7S,11S]"
LMFA04010443,FA 22:7;O2,"(17R)-17-A4-NeuroP[10R,14R]"
LMFA04010444,FA 22:7;O2,"(17R)-17-A4-NeuroP[10R,14S]"
LMFA04010445,FA 22:7;O2,"(17R)-17-A4-NeuroP[10S,14R]"
LMFA04010446,FA 22:7;O2,"(17R)-17-A4-NeuroP[10S,14S]"
LMFA04010447,FA 22:7;O2,"(17S)-17-A4-NeuroP[10R,14R]"
LMFA04010448,FA 22:7;O2,"(17S)-17-A4-NeuroP[10R,14S]"
LMFA04010449,FA 22:7;O2,"(17S)-17-A4-NeuroP[10S,14R]"
LMFA04010450,FA 22:7;O2,"(17S)-17-A4-NeuroP[10S,14S]"
LMFA04010451,FA 22:7;O2,"(20R)-20-A4-NeuroP[13R,17R]"
LMFA04010452,FA 22:7;O2,"(20R)-20-A4-NeuroP[13R,17S]"
LMFA04010453,FA 22:7;O2,"(20R)-20-A4-NeuroP[13S,17R]"
LMFA04010454,FA 22:7;O2,"(20R)-20-A4-NeuroP[13S,17S]"
LMFA04010455,FA 22:7;O2,"(20S)-20-A4-NeuroP[13R,17R]"
LMFA04010456,FA 22:7;O2,"(20S)-20-A4-NeuroP[13R,17S]"
LMFA04010457,FA 22:7;O2,"(20S)-20-A4-NeuroP[13S,17R]"
LMFA04010458,FA 22:7;O2,"(20S)-20-A4-NeuroP[13S,17S]"
LMFA04010459,FA 22:7;O2,"(4R)-4-J4-NeuroP[7R,11R]"
LMFA04010460,FA 22:7;O2,"(4R)-4-J4-NeuroP[7R,11S]"
LMFA04010461,FA 22:7;O2,"(4R)-4-J4-NeuroP[7S,11R]"
LMFA04010462,FA 22:7;O2,"(4R)-4-J4-NeuroP[7S,11S]"
LMFA04010463,FA 22:7;O2,"(4S)-4-J4-NeuroP[7R,11R]"
LMFA04010464,FA 22:7;O2,"(4S)-4-J4-NeuroP[7R,11S]"
LMFA04010465,FA 22:7;O2,"(4S)-4-J4-NeuroP[7S,11R]"
LMFA04010466,FA 22:7;O2,"(4S)-4-J4-NeuroP[7S,11S]"
LMFA04010467,FA 22:7;O2,"(7R)-7-J4-NeuroP[10R,14R]"
LMFA04010468,FA 22:7;O2,"(7R)-7-J4-NeuroP[10R,14S]"
LMFA04010469,FA 22:7;O2,"(7R)-7-J4-NeuroP[10S,14R]"
LMFA04010470,FA 22:7;O2,"(7R)-7-J4-NeuroP[10S,14S]"
LMFA04010471,FA 22:7;O2,"(7S)-7-J4-NeuroP[10R,14R]"
LMFA04010472,FA 22:7;O2,"(7S)-7-J4-NeuroP[10R,14S]"
LMFA04010473,FA 22:7;O2,"(7S)-7-J4-NeuroP[10S,14R]"
LMFA04010474,FA 22:7;O2,"(7S)-7-J4-NeuroP[10S,14S]"
LMFA04010475,FA 22:7;O2,"(10R)-10-J4-NeuroP[13R,17R]"
LMFA04010476,FA 22:7;O2,"(10R)-10-J4-NeuroP[13R,17S]"
LMFA04010477,FA 22:7;O2,"(10R)-10-J4-NeuroP[13S,17R]"
LMFA04010478,FA 22:7;O2,"(10R)-10-J4-NeuroP[13S,17S]"
LMFA04010479,FA 22:7;O2,"(10S)-10-J4-NeuroP[13R,17R]"
LMFA04010480,FA 22:7;O2,"(10S)-10-J4-NeuroP[13R,17S]"
LMFA04010481,FA 22:7;O2,"(10S)-10-J4-NeuroP[13S,17R]"
LMFA04010482,FA 22:7;O2,"(10S)-10-J4-NeuroP[13S,17S]"
